IDImp;nr articolo;budget/consuntivo;Nr. Ordine di produzione;Descrizione;Nr. Area di produzione;Risorsa;Tempo risorsa;Quantità di output
3966;ART0001272;CONSUNTIVO;ODP18-05328;Tornitura;A20;RIS1;9;10
3967;ART0001272;CONSUNTIVO;ODP18-05328;Fresatura;A30;RIS1;0.0001;10
3968;ART0000893;CONSUNTIVO;ODP18-05725;Tornitura;A20;RIS2;2.25;0
3969;ART0000890;CONSUNTIVO;ODP18-05725;Tornitura;A20;RIS2;2.25;7
3970;ART0001917;CONSUNTIVO;ODP18-05772;Tornitura;A20;RIS1;4;0
3971;ART0001917;CONSUNTIVO;ODP18-05772;Tornitura;A20;RIS1;2.5;0
3972;ART0001272;CONSUNTIVO;ODP18-05328;Controllo qualità;CQ;RIS16;0;10
3973;ART0003160;CONSUNTIVO;ODP18-05828;Tornitura;A20;RIS2;2;1
3974;ART0001947;CONSUNTIVO;ODP18-05512;Controllo qualità;CQ;RIS16;0;3
3975;ART0000890;CONSUNTIVO;ODP18-05725;Fresatura;A30;RIS5;0.25;0
3976;ART0001917;CONSUNTIVO;ODP18-05772;Tornitura;A20;RIS1;10;0
3977;ART0000890;CONSUNTIVO;ODP18-05725;Fresatura;A30;RIS5;1;7
3978;ART0001866;CONSUNTIVO;ODP18-05760;Controllo qualità;CQ;RIS16;0;12
3979;ART0001807;CONSUNTIVO;ODP18-05772;Controllo qualità;CQ;RIS16;0;30
3980;ART0000769;CONSUNTIVO;ODP18-05512;Montaggio;A40;RIS13;0.5;1
3981;ART0000769;CONSUNTIVO;ODP18-05512;Controllo qualità;CQ;RIS16;0;1
3982;ART0001917;CONSUNTIVO;ODP18-05772;Tornitura;A20;RIS1;2.5;30
3983;ART0001917;CONSUNTIVO;ODP18-05772;Fresatura;A30;RIS1;0.0001;30
3984;ART0000847;CONSUNTIVO;ODP18-05312;Montaggio;A40;RIS13;0.5;1
3985;ART0000847;CONSUNTIVO;ODP18-05312;Controllo qualità;CQ;RIS16;0;1
3986;ART0000893;CONSUNTIVO;ODP18-05725;Fresatura;A30;RIS5;1.75;5
3987;ART0000878;CONSUNTIVO;ODP18-05725;Controllo qualità;CQ;RIS16;0;3
3988;ART0000877;CONSUNTIVO;ODP18-05725;Controllo qualità;CQ;RIS16;0;3
3989;ART0000890;CONSUNTIVO;ODP18-05725;Controllo qualità;CQ;RIS16;0;7
3990;ART0000690;CONSUNTIVO;ODP18-05908;Controllo qualità;CQ;RIS16;0;5
3991;ART0005136;CONSUNTIVO;ODP18-05954;Tornitura;A20;RIS2;1;0
3992;ART0000893;CONSUNTIVO;ODP18-05725;Controllo qualità;CQ;RIS16;0;5
3993;ART0005136;CONSUNTIVO;ODP18-05954;Tornitura;A20;RIS2;0.0001;1
3994;ART0005136;CONSUNTIVO;ODP18-05954;Tornitura;A20;RIS2;0.75;1
3995;ART0005136;CONSUNTIVO;ODP18-05954;Tornitura;A20;RIS2;1;1
3996;ART0005136;CONSUNTIVO;ODP18-05954;Tornitura;A20;RIS2;0.75;1
3997;ART0001214;CONSUNTIVO;ODP18-05974;Tornitura;A20;RIS2;1.5;1
3998;ART0002411;CONSUNTIVO;ODP18-05832;Fresatura;A30;RIS9;5.5;0
3999;ART0002411;CONSUNTIVO;ODP18-05832;Fresatura;A30;RIS11;1.25;0
4000;ART0005136;CONSUNTIVO;ODP18-05954;Fresatura;A30;RIS5;1.169;1
4001;ART0005136;CONSUNTIVO;ODP18-05954;Fresatura;A30;RIS5;1.169;1
4002;ART0005136;CONSUNTIVO;ODP18-05954;Fresatura;A30;RIS5;1;1
4003;ART0001214;CONSUNTIVO;ODP18-05974;Tornitura;A20;RIS2;1;0
4004;ART0004711;CONSUNTIVO;ODP18-05444;Fresatura;A30;RIS11;0.5;0
4005;ART0001214;CONSUNTIVO;ODP18-05974;Tornitura;A20;RIS2;0.5;0
4006;ART0000226;CONSUNTIVO;ODP18-05311;Controllo qualità;CQ;RIS16;0;10
4007;ART0001214;CONSUNTIVO;ODP18-05974;Fresatura;A30;RIS5;1.169;1
4008;ART0005136;CONSUNTIVO;ODP18-05954;Fresatura;A30;RIS9;0.5;1
4009;ART0002502;CONSUNTIVO;ODP18-05975;Tornitura;A20;RIS2;5.5;14
4010;ART0000795;CONSUNTIVO;ODP18-05760;Montaggio;A40;RIS13;1;12
4011;ART0000795;CONSUNTIVO;ODP18-05760;Controllo qualità;CQ;RIS16;0;12
4012;ART0002502;CONSUNTIVO;ODP18-05975;Fresatura;A30;RIS5;2.25;14
